分类: 📡卫视频道, 名称: 五星体育, 总数: 8, 有效率: 12.50%, 有效: 1, IPv4: 8, IPv6: 0, 最小延迟: 32 ms, 最高速率: 14.84 MiB/s, 平均速率: 14.84 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 金鹰卡通, 总数: 82, 有效率: 2.44%, 有效: 2, IPv4: 82, IPv6: 0, 最小延迟: 304 ms, 最高速率: 0.59 MiB/s, 平均速率: 0.56 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.08, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 卡酷少儿, 总数: 59, 有效率: 8.47%, 有效: 5, IPv4: 59, IPv6: 0, 最小延迟: 21 ms, 最高速率: 19.54 MiB/s, 平均速率: 8.09 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 广东卫视, 总数: 185, 有效率: 3.24%, 有效: 6, IPv4: 185, IPv6: 0, 最小延迟: 34 ms, 最高速率: 14.26 MiB/s, 平均速率: 6.67 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 浙江卫视, 总数: 169, 有效率: 2.96%, 有效: 5, IPv4: 169, IPv6: 0, 最小延迟: 34 ms, 最高速率: 12.68 MiB/s, 平均速率: 7.70 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.27, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 湖南卫视, 总数: 199, 有效率: 6.53%, 有效: 13, IPv4: 199, IPv6: 0, 最小延迟: 24 ms, 最高速率: 14.92 MiB/s, 平均速率: 7.97 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 北京卫视, 总数: 195, 有效率: 3.59%, 有效: 7, IPv4: 195, IPv6: 0, 最小延迟: 21 ms, 最高速率: 55.85 MiB/s, 平均速率: 12.17 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖北卫视, 总数: 175, 有效率: 3.43%, 有效: 6, IPv4: 175, IPv6: 0, 最小延迟: 33 ms, 最高速率: 12.77 MiB/s, 平均速率: 4.79 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 黑龙江卫视, 总数: 165, 有效率: 4.85%, 有效: 8, IPv4: 165, IPv6: 0, 最小延迟: 35 ms, 最高速率: 22.15 MiB/s, 平均速率: 5.38 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 安徽卫视, 总数: 156, 有效率: 4.49%, 有效: 7, IPv4: 156, IPv6: 0, 最小延迟: 30 ms, 最高速率: 12.87 MiB/s, 平均速率: 4.36 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.08, 视频编解码器: h264, 音频编解码器: mp2
